title,desc
"Kampanye Nasional Aksi Bersama untuk Sesama Resmi Diluncurkan, Ini Kolaborasi Tiap Daerah",Peluncuran Aksi Bersama Bantu Sesama secara daring ini dihadiri oleh 431 peserta konferensi virtual serta 580 pemirsa yang mengikuti secara langsung di kanal YouTube ICCN.
"VIDEO: Abaikan PSBB, PKL Kembali Penuhi Pasar Tanah Abang","Masyarakat memadati lapak pedagang kali lima (PKL) di Pasar Tanah Abang, Jakarta Pusat seminggu jelang lebaran. Suasana kawasan Pasar Tanah Abang padat dijejali warga ketika Jakarta menerapkan PPSBB sebagai dampak wabah virus corona."
"Pandemi Corona, Masjid di Menteng Jakpus Ini Sediakan Layanan Jemput Zakat","Masjid Umar Ibnu Abdul Aziz di RT 005/RW 012, Kelurahan Menteng Dalam, Jakarta Selatan menyediakan layanan jemput zakat setiap hari selama ramadan."
Bandara Soekarno-Hatta Siapkan Protokol Antisipasi Pemberlakuan The New Normal,PT Angkasa Pura II (Persero) menyiapkan protokol guna mengantisipasi skenario The New Normal di tengah pandemi COVID-19.
"Tingkat Pelanggaran PSBB Tinggi Jelang Lebaran, Pemkab Ciajur Batasi Pertokoan Hanya Buka 4 Jam","Plt Bupati Cianjur, Herman Suherman mengatakan menjelang berakhirnya PSBB parsial dua hari ke depan, tingkat pelanggaran yang dilakukan warga semakin tinggi."
"Jelang Lebaran Warga Bogor Serbu Pasar untuk Beli Baju, Bima Arya Geram","Bogor masih memberlakukan PSBB untuk mencegah penyebaran Corona. Namun, warga menyerbu Pasar Kebon Kembang pada hari ini. Bima Arya pun geram."
KPK Benarkan Gelar OTT di Kemendikbud,Kegiatan berawal dari dugaan akan adanya penyerahan sejumlah uang yang diduga dari pihak Rektor UNJ kepada pejabat di Kemendikbud.
"Di Sidoarjo, Pelangar PSBB yang Bandel Disanksi Ikut Makamkan Jenazah Pasien Corona",Forum Koordinasi Pimpinan Daerah Sidoarjo punya cara unik menyadarkan pelanggar kebijakan Pembatasan Sosial Berskala Besar (PSBB).
"Achmad Yurianto: WHO Mengatakan Corona Sulit Hilang, Biasakan Hidup Sehat","Juru bicara pemerintah untuk penanganan Covid-19, Achmad Yurianto meminta masyarakat untuk terus terbiasa dengan kehidupan yang mengacu pada protokol kesehatan dalam kehidupan sehari-hari."
"Bentrok Anggota Dua Ormas di Bekasi, 4 Motor Dibakar","Kombes Pol Wijonarko menerangkan, bentrokan melibatkan Ormas Pemuda Pancasila dengan Persaudaraan Setia Hati Terate (PSHT)."
"Beroperasi di Hari Lebaran, KRL Hanya Melayani Sektor Pengecualian PSBB",Jam operasional mulai pukul 05.00-08.00 WIB pada pagi hari dan pukul 16.00-18.00 WIB pada sore hari di seluruh lintas perjalanan.
Polisi: Paling Banyak Pelanggaran Mudik Terjadi di Jalur Tikus,Polisi belum memberikan rincian berapa banyak kendaraan yang mudik melalui jalur arteri maupun jalur tikus.
3 Agen yang Berangkatkan 14 ABK ke Kapal China Jadi Tersangka,Tiga agen yang memberangkatkan 14 WNI untuk menjadi anak buah kapal (ABK) di Kapal Long Xing 629 ditetapkan tersangka oleh Dittipidum Bareskrim Polri.
MUI Imbau Agar Masyarakat Tak Salat Idul Fitri Berjamaah dan Takbiran Keliling,Majelis Ulama Indonesia (MUI) DKI Jakarta dan Dewan Masjid Indonesia (DMI) DKI Jakarta mengeluarkan seruan bersama agar warga Jakarta melaksanakan salat Idul Fitri 1441 Hijriah di rumah masing-masing.
Sabam Sirait: Tak Berkerumun Itu Demi Kepentingan Bersama,"Sabam menekankan, bahwa PSBB bisa terus diperpanjang apabila masyarakat terus melanggar instruksi pemerintah."
Kemenag Perpanjang Pelunasan Biaya Haji Tahap II hingga 29 Mei 2020,"Dalam keterangan tertulisnya, sampai 20 Mei 2020, masih ada 11.537 jemaah yang belum melakukan pelunasan."
"Pandemi Corona, Penanganan Kekerasan pada Perempuan dan Anak Jadi Terkendala","Komisioner advokasi perempuan dan anak menyebut kecepatan penanganan kekerasan dalam rumah tangga (KDRT) melalui pusat layanan bantuan publik, seperti rumah aman, terkendala saat COVID-19."
"Viral Aksi Balapan Liar Siang Hari, Empat Pemuda Ditangkap Polisi","Video sejumlah pemuda melakukan balapan liar di Jalan Raya Serpong, Kota Tangerang Selatan, viral di berbagai laman media sosial. Pelaku pun langsung diamankan kepolisian Resort Tangerang Selatan."
"PSBB Jakarta Jilid III, Tak Ada Pelonggaran hingga Harap Warga Taat",Gubernur DKI Jakarta Anies Baswedan mengimbau masyarakat untuk terus disiplin berdasarkan protokol kesehatan dalam masa PSBB jilid III ini.
Viral Tenaga Medis di RS Wisma Atlet Pakai APD Tunjukkan Semangat Perangi Covid-19,Video tersebut terlihat puluhan relawan berkumpul mengenakan alat pelindung diri (APD) berteriak menggelorakan semangat Hari Kebangkitan Nasional.
"Ditjen Perhubungan Akan Fasilitasi 719 Orang yang Tertangkap Polisi Saat Mudik, Asal...",Direktorat Jenderal Perhubungan bersedia mengakomodir kepulangan 719 pemudik yang terjaring Direktorat Lalu Lintas Polda Metro Jaya yang hendak mudik menggunakan mobil travel gelap pada Kamis (21/5/2020).
"Jaring Puluhan Travel Gelap, Polisi Cegah 719 Pemudik",Hasil penangkapan ini menambah daftar kendaraan travel yang mencoba-coba mengangkut pemudik di masa pandemi Covid-19.
Ingin Naik Kereta Api Saat PSBB? Cek Aturannya di Sini,Regulasi PT Kereta Api Indonesia (KAI) Persero  selama masa PSBB itu dilakukan sebagai upaya mendukung pemerintah dalam memutus rantai penularan Corona Covid-19.
"VIDEO: Update Corona 21 Mei, Cetak Rekor Harian mencapai 973 orang",Kasus positif covid-19 di Indonesia kembali memecahlan rekor harian menjadi 973 orang. Total akumatif kasus corona menjadi 20.162 orang.
Ini Aturan Penumpang Penerbangan Pesawat Komersial di Tengah Pandemi Covid-19,Kantor Kesehatan Pelabuhan memberlakukan tiga pemeriksaan atau check point bagi calon penumpang sebagai syarat sebelum naik ke pesawat untuk mencegah penyebaran Corona Covid-19.
Polisi: Travel Gelap Pembawa Pemudik Patok Tarif hingga Empat Kali Lipat,"Sambodo mencontohkan, perjalanan dari Jakarta ke Brebes, Jawa Tengah, normalnya harga tiket Rp 150.000. Namun mereka mematok harga untuk penumpang hingga Rp 500.000 untuk sekali perjalanan."
Jubir Sebut Pemerintah Tengah Pikirkan Cara Agar Masyarakat Produktif Tapi Tak Tertular Corona,"Juru Bicara Pemerintah untuk Penanganan Covid-19, Achmad Yurianto mengatakan pihaknya tengah memikirkan suatu langkah untuk membuat masyarakat tetap produktif di tengah pandemi."
BMKG: Gempa Hari Ini Getarkan Kota Ambon,Gempa itu menggetarkan pada pukul 07:18:10 WIB.
"Pandemi Corona, Masjid Agung Al Azhar Jakarta Selatan Tak Gelar Salat Idul Fitri",Yayasan Masjid Al Azhar Jaksel mengimbau masyarakat dan para jemaah untuk melaksanakan salat Idul Fitri di rumah masing-masing.
